"experiment","subject","response","ground_truth","trial","sequence","streak","repetition"
"Exp3",13,"probability",50,13,"[1,1,0,1,0,0,1,0]",1,49
"Exp3",13,"probability",50,14,"[0,0,1,1,0,1,0,1]",1,77
"Exp3",13,"probability",50,15,"[1,0,1,0,0,1,1,1]",3,78
"Exp3",13,"probability",50,16,"[0,1,0,0,0,0,0,1]",1,87
"Exp3",13,"probability",50,17,"[0,1,0,0,0,0,0,0]",6,14
"Exp3",13,"probability",50,18,"[0,1,0,1,0,0,0,0]",4,40
"Exp3",14,"probability",50,1,"[1,1,1,0,1,0,1,0]",1,43
"Exp3",14,"probability",50,2,"[1,0,1,0,1,0,0,0]",3,70
"Exp3",14,"probability",50,3,"[0,1,1,0,1,0,1,0]",1,51
"Exp3",14,"probability",50,4,"[0,1,0,1,0,0,1,0]",1,59
"Exp3",14,"probability",50,5,"[0,1,0,1,1,1,1,0]",1,68
"Exp3",14,"probability",50,6,"[1,0,1,0,1,0,1,1]",2,53
"Exp3",14,"probability",50,7,"[0,1,1,1,1,1,1,1]",7,80
"Exp3",14,"probability",50,8,"[0,1,0,0,0,0,0,1]",1,17
"Exp3",14,"probability",50,9,"[0,1,0,1,0,0,0,0]",4,69
"Exp3",14,"probability",50,10,"[0,1,0,0,0,1,0,1]",1,31
"Exp3",14,"probability",50,11,"[1,1,1,1,1,0,1,0]",1,26
"Exp3",14,"probability",50,12,"[0,0,1,1,0,1,0,1]",1,13
"Exp3",14,"probability",50,13,"[1,0,0,0,1,0,1,0]",1,56
"Exp3",14,"probability",50,14,"[1,0,0,0,0,0,0,1]",1,23
"Exp3",14,"probability",50,15,"[1,1,0,0,0,1,1,0]",1,94
"Exp3",14,"probability",50,16,"[1,0,0,0,0,1,0,1]",1,21
"Exp3",14,"probability",50,17,"[0,1,0,0,0,0,0,0]",6,90
"Exp3",14,"probability",50,18,"[0,1,0,1,1,1,1,1]",5,70
"Exp3",15,"probability",50,1,"[1,1,1,1,1,0,1,0]",1,71
"Exp3",15,"probability",50,2,"[0,1,0,1,1,1,1,0]",1,77
"Exp3",15,"probability",50,3,"[1,0,1,1,0,1,0,0]",2,52
"Exp3",15,"probability",50,4,"[1,0,1,0,0,1,1,0]",1,46
"Exp3",15,"probability",50,5,"[1,0,1,0,1,1,1,1]",4,14
"Exp3",15,"probability",50,6,"[1,1,1,1,0,0,1,0]",1,67
"Exp3",15,"probability",50,7,"[1,0,0,0,0,0,0,0]",7,33
"Exp3",15,"probability",50,8,"[1,1,0,0,0,1,1,0]",1,50
"Exp3",15,"probability",50,9,"[1,0,1,0,1,0,1,0]",1,50
"Exp3",15,"probability",50,10,"[0,1,0,1,0,0,1,0]",1,45
"Exp3",15,"probability",50,11,"[1,1,1,0,1,0,1,0]",1,59
"Exp3",15,"probability",50,12,"[1,1,0,1,1,1,1,1]",5,15
"Exp3",15,"probability",50,13,"[1,1,0,0,1,1,0,1]",1,45
"Exp3",15,"probability",50,14,"[1,0,1,1,1,1,1,1]",6,9
"Exp3",15,"probability",50,15,"[1,1,0,1,0,0,1,0]",1,49
"Exp3",15,"probability",50,16,"[1,0,1,0,1,0,0,0]",3,40
"Exp3",15,"probability",50,17,"[1,0,0,0,0,0,0,1]",1,62
"Exp3",15,"probability",50,18,"[0,0,1,1,0,1,0,1]",1,50
"Exp3",16,"probability",50,1,"[0,0,1,1,0,1,0,1]",1,20
"Exp3",16,"probability",50,2,"[0,0,1,0,0,0,0,0]",5,13
"Exp3",16,"probability",50,3,"[1,1,1,1,1,1,0,1]",1,9
"Exp3",16,"probability",50,4,"[0,1,1,1,1,1,1,1]",7,4
"Exp3",16,"probability",50,5,"[1,0,0,0,0,0,0,1]",1,83
"Exp3",16,"probability",50,6,"[0,1,1,1,0,0,1,0]",1,44
"Exp3",16,"probability",50,7,"[1,0,1,0,0,1,1,0]",1,27
"Exp3",16,"probability",50,8,"[0,1,0,1,1,1,0,1]",1,5
"Exp3",16,"probability",50,9,"[0,1,0,1,0,1,0,1]",1,54
"Exp3",16,"probability",50,10,"[0,1,0,1,0,0,0,0]",4,8
"Exp3",16,"probability",50,11,"[1,1,1,1,0,0,1,0]",1,91
"Exp3",16,"probability",50,12,"[0,1,0,0,0,1,0,1]",1,76
"Exp3",16,"probability",50,13,"[1,1,0,1,0,0,1,0]",1,35
"Exp3",16,"probability",50,14,"[0,1,0,1,1,0,0,0]",3,14
"Exp3",16,"probability",50,15,"[1,0,0,0,0,1,0,1]",1,92
"Exp3",16,"probability",50,16,"[0,1,0,1,0,1,0,0]",2,22
"Exp3",16,"probability",50,17,"[0,0,1,1,1,1,1,1]",6,4
"Exp3",16,"probability",50,18,"[0,1,0,1,1,1,1,0]",1,98
"Exp3",17,"probability",50,1,"[0,1,1,1,0,0,1,0]",1,51
"Exp3",17,"probability",50,2,"[1,1,0,0,0,1,1,0]",1,48
"Exp3",17,"probability",50,3,"[1,1,1,1,1,0,1,0]",1,66
"Exp3",17,"probability",50,4,"[1,1,0,1,0,0,1,0]",1,50
"Exp3",17,"probability",50,5,"[0,1,0,1,0,0,1,0]",1,46
"Exp3",17,"probability",50,6,"[1,0,0,0,0,0,0,0]",7,23
"Exp3",17,"probability",50,7,"[1,1,0,0,1,1,0,1]",1,40
"Exp3",17,"probability",50,8,"[0,0,1,0,1,1,1,1]",4,49
"Exp3",17,"probability",50,9,"[1,0,0,0,0,0,0,1]",1,57
